epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45832,1.01381,10.1422,0.96237,0,0,0,0,2.58846,5.16243,2.15258,1e-05,1e-05,1e-05
2,2.71025,2.78732,7.03551,2.20068,0,0,0,0,2.50713,5.16813,2.13302,2.9703e-05,2.9703e-05,2.9703e-05
3,3.89087,1.50121,5.07395,1.73709,0,0,0,0,2.50713,5.16813,2.13302,4.901e-05,4.901e-05,4.901e-05
4,5.1704,2.52443,6.80477,2.07981,0,0,0,0,2.40259,5.17978,2.07469,6.7921e-05,6.7921e-05,6.7921e-05
5,6.35714,1.68196,14.1607,1.12208,0,0,0,0,2.40259,5.17978,2.07469,8.6436e-05,8.6436e-05,8.6436e-05
6,7.55295,2.61813,6.2336,2.21773,0,0,0,0,2.22528,5.20737,2.00554,0.000104555,0.000104555,0.000104555
7,8.75057,2.27678,9.16765,1.93348,0,0,0,0,2.22528,5.20737,2.00554,0.000122278,0.000122278,0.000122278
8,10.0254,1.37147,5.1706,1.57923,0,0,0,0,2.22528,5.20737,2.00554,0.000139605,0.000139605,0.000139605
9,11.4349,2.37751,6.08911,1.96758,0,0,0,0,2.26433,5.13276,2.06472,0.000156536,0.000156536,0.000156536
10,12.6432,2.79667,5.8665,2.33875,0,0,0,0,2.26433,5.13276,2.06472,0.000173071,0.000173071,0.000173071
11,13.8799,0.76465,10.2537,0.6958,0,0,0,0,2.26433,5.13276,2.06472,0.00018921,0.00018921,0.00018921
12,15.0137,1.43499,5.53031,1.32478,0,0,0,0,2.26433,5.13276,2.06472,0.000204953,0.000204953,0.000204953
13,16.1795,0.96002,10.4668,0.85026,0,0,0,0,2.37603,5.20161,2.08961,0.0002203,0.0002203,0.0002203
14,17.5279,1.7526,9.32254,1.30843,0,0,0,0,2.37603,5.20161,2.08961,0.000235251,0.000235251,0.000235251
15,19.0316,2.85912,7.6334,2.16267,0,0,0,0,2.37603,5.20161,2.08961,0.000249806,0.000249806,0.000249806
16,20.284,0.99723,10.3489,0.65091,0,0,0,0,2.37603,5.20161,2.08961,0.000263965,0.000263965,0.000263965
17,21.4992,2.31129,6.72932,1.82474,0,0,0,0,2.37603,5.20161,2.08961,0.000277728,0.000277728,0.000277728
18,22.6473,2.32568,8.99121,1.58908,0,0,0,0,2.37603,5.20161,2.08961,0.000291095,0.000291095,0.000291095
19,23.7787,0.59309,10.1723,0.51692,0,0,0,0,2.70643,5.17519,2.06628,0.000304066,0.000304066,0.000304066
20,24.8929,1.77121,9.47504,1.17453,0,0,0,0,2.70643,5.17519,2.06628,0.000316641,0.000316641,0.000316641
21,26.1204,0.65832,10.3476,0.54251,0,0,0,0,2.70643,5.17519,2.06628,0.00032882,0.00032882,0.00032882
22,27.262,2.47599,8.37362,1.5882,0,0,0,0,2.70643,5.17519,2.06628,0.000340603,0.000340603,0.000340603
23,28.3878,2.76615,8.42565,1.87591,0,0,0,0,2.70643,5.17519,2.06628,0.00035199,0.00035199,0.00035199
24,29.4918,2.13291,9.36926,1.35402,0,0,0,0,2.70643,5.17519,2.06628,0.000362981,0.000362981,0.000362981
25,30.7425,1.87709,10.4749,1.45457,0,0,0,0,2.70643,5.17519,2.06628,0.000373576,0.000373576,0.000373576
26,31.8627,2.33042,7.59348,1.45327,0,0,0,0,2.70643,5.17519,2.06628,0.000383775,0.000383775,0.000383775
27,33.1242,2.34293,11.5926,1.62137,0,0,0,0,3.10726,5.53355,2.36942,0.000393578,0.000393578,0.000393578
28,34.2438,1.39173,4.0755,1.24839,0,0,0,0,3.10726,5.53355,2.36942,0.000402985,0.000402985,0.000402985
29,35.3306,1.13966,4.50292,1.03586,0,0,0,0,3.10726,5.53355,2.36942,0.000411996,0.000411996,0.000411996
30,36.4411,1.11409,3.90089,1.00776,0,0,0,0,3.10726,5.53355,2.36942,0.000420611,0.000420611,0.000420611
31,37.5916,2.37131,5.79827,1.32728,0,0,0,0,3.10726,5.53355,2.36942,0.00042883,0.00042883,0.00042883
32,38.7261,1.72545,6.32484,1.27822,0,0,0,0,3.10726,5.53355,2.36942,0.000436653,0.000436653,0.000436653
33,39.8402,1.32566,4.04822,0.93311,0,0,0,0,3.10726,5.53355,2.36942,0.00044408,0.00044408,0.00044408
34,40.9665,1.24877,3.42629,1.18662,0,0,0,0,3.10726,5.53355,2.36942,0.000451111,0.000451111,0.000451111
35,42.096,1.83164,8.93466,1.20535,0,0,0,0,3.10726,5.53355,2.36942,0.000457746,0.000457746,0.000457746
36,43.1963,1.70996,10.0675,1.15424,0,0,0,0,3.10726,5.53355,2.36942,0.000463985,0.000463985,0.000463985
37,44.296,2.49056,11.6566,1.43542,0,0,0,0,3.10726,5.53355,2.36942,0.000469828,0.000469828,0.000469828
38,45.6699,0.64363,10.1442,0.50008,0,0,0,0,3.10726,5.53355,2.36942,0.000475275,0.000475275,0.000475275
39,46.8087,1.98528,6.8027,1.24199,0,0,0,0,3.10726,5.53355,2.36942,0.000480326,0.000480326,0.000480326
40,47.9486,2.53936,9.57247,1.49508,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000484981,0.000484981,0.000484981
41,49.0244,1.82604,5.62523,1.22727,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.00048924,0.00048924,0.00048924
42,50.1051,1.14372,2.75807,1.09366,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000493103,0.000493103,0.000493103
43,51.1884,2.84197,6.55534,1.71924,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.00049657,0.00049657,0.00049657
44,52.4974,0,16.1762,0,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000499641,0.000499641,0.000499641
45,53.6353,1.39893,4.69165,1.03744,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000502316,0.000502316,0.000502316
46,54.699,2.67876,8.42067,1.82418,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000504595,0.000504595,0.000504595
47,55.9411,1.5042,6.47869,1.20498,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000506478,0.000506478,0.000506478
48,57.3433,1.67657,5.53172,1.33256,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000507965,0.000507965,0.000507965
49,58.5183,1.41288,12.1229,0.79714,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000509056,0.000509056,0.000509056
50,59.6069,1.49651,6.64443,1.18382,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000509751,0.000509751,0.000509751
51,60.8049,0.92963,2.78658,1.07788,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.000505,0.000505,0.000505
52,61.9158,1.63852,4.58541,1.14994,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.0004951,0.0004951,0.0004951
53,62.9983,0.96573,11.2301,0.65135,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.0004852,0.0004852,0.0004852
54,64.1255,0.64125,9.37256,0.53747,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.0004753,0.0004753,0.0004753
55,65.2319,2.41949,7.94485,1.52504,0.00702,0.5,0.33705,0.05185,3.23604,5.46036,2.16303,0.0004654,0.0004654,0.0004654
56,66.3568,1.16651,2.75588,1.12863,0.0075,0.33333,0.1728,0.05184,3.01879,5.00597,1.94205,0.0004555,0.0004555,0.0004555
57,67.46,0.61991,9.37996,0.53203,0.0075,0.33333,0.1728,0.05184,3.01879,5.00597,1.94205,0.0004456,0.0004456,0.0004456
58,68.5413,0,15.9798,0,0.0075,0.33333,0.1728,0.05184,3.01879,5.00597,1.94205,0.0004357,0.0004357,0.0004357
59,69.6277,0.93877,2.74033,0.9355,0.0075,0.33333,0.1728,0.05184,3.01879,5.00597,1.94205,0.0004258,0.0004258,0.0004258
60,70.7489,1.63467,6.02993,1.20729,0.0075,0.33333,0.1728,0.05184,3.01879,5.00597,1.94205,0.0004159,0.0004159,0.0004159
